기준_년분기_코드,행정동_코드,행정동_코드_명,월_평균_소득_금액,소득_구간_코드
20211,11410,서대문구,3417706,07
20211,11650,서초구,4912401,09
20211,11260,중랑구,2598785,06
20211,11290,성북구,3281773,07
20211,11500,강서구,3160623,07
20211,11710,송파구,3995905,08
20211,11200,성동구,3734499,07
20211,11305,강북구,2547460,06
20211,11470,양천구,3796034,08
20211,11110,종로구,3725859,07
20211,11170,용산구,3971498,08
20211,11230,동대문구,3030256,07
20211,11380,은평구,2912739,06
20211,11680,강남구,4943841,09
20211,11740,강동구,3292857,07
20211,11140,중구,3513603,07
20204,11215,광진구,3192971,07
20204,11440,마포구,3832436,08
20204,11530,구로구,2994059,07
20204,11560,영등포구,3604887,07
20204,11620,관악구,2771927,06
20204,11320,도봉구,2785111,06
20204,11545,금천구,2632285,06
20204,11590,동작구,3454170,07
20204,11350,노원구,3195375,07
20204,11410,서대문구,3417706,07
20204,11650,서초구,4912401,09
20204,11260,중랑구,2598785,06
20204,11290,성북구,3281773,07
20204,11500,강서구,3160623,07
20204,11710,송파구,3995905,08
20204,11200,성동구,3734499,07
20204,11305,강북구,2547460,06
20204,11470,양천구,3796034,08
20204,11110,종로구,3725859,07
20204,11170,용산구,3971498,08
20204,11230,동대문구,3030256,07
20204,11380,은평구,2912739,06
20204,11680,강남구,4943841,09
20204,11740,강동구,3292857,07
20204,11140,중구,3513603,07
20203,11215,광진구,3192971,07
20203,11440,마포구,3832436,08
20203,11530,구로구,2994059,07
20203,11560,영등포구,3604887,07
20203,11620,관악구,2771927,06
20203,11320,도봉구,2785111,06
20203,11545,금천구,2632285,06
20203,11590,동작구,3454170,07
20203,11350,노원구,3195375,07
20203,11410,서대문구,3417706,07
20203,11650,서초구,4912401,09
20203,11260,중랑구,2598785,06
20203,11290,성북구,3281773,07
20203,11500,강서구,3160623,07
20203,11710,송파구,3995905,08
20203,11200,성동구,3734499,07
20203,11305,강북구,2547460,06
20203,11470,양천구,3796034,08
20203,11110,종로구,3725859,07
20203,11170,용산구,3971498,08
20203,11230,동대문구,3030256,07
20203,11380,은평구,2912739,06
20203,11680,강남구,4943841,09
20203,11740,강동구,3292857,07
20203,11140,중구,3513603,07
20202,11215,광진구,3192971,07
20202,11440,마포구,3832436,08
20202,11530,구로구,2994059,07
20202,11560,영등포구,3604887,07
20202,11620,관악구,2771927,06
20202,11320,도봉구,2785111,06
20202,11545,금천구,2632285,06
20202,11590,동작구,3454170,07
20202,11350,노원구,3195375,07
20202,11410,서대문구,3417706,07
20202,11650,서초구,4912401,09
20202,11260,중랑구,2598785,06
20202,11290,성북구,3281773,07
20202,11500,강서구,3160623,07
20202,11710,송파구,3995905,08
20202,11200,성동구,3734499,07
20202,11305,강북구,2547460,06
20202,11470,양천구,3796034,08
20202,11110,종로구,3725859,07
20202,11170,용산구,3971498,08
20202,11230,동대문구,3030256,07
20202,11380,은평구,2912739,06
20202,11680,강남구,4943841,09
20202,11740,강동구,3292857,07
20202,11140,중구,3513603,07
20201,11215,광진구,3192971,07
20201,11440,마포구,3832436,08
20201,11530,구로구,2994059,07
20201,11560,영등포구,3604887,07
20201,11620,관악구,2771927,06
20201,11320,도봉구,2785111,06
20201,11545,금천구,2632285,06
20201,11590,동작구,3454170,07
20201,11350,노원구,3195375,07
20201,11410,서대문구,3417706,07
20201,11650,서초구,4912401,09
20201,11260,중랑구,2598785,06
20201,11290,성북구,3281773,07
20201,11500,강서구,3160623,07
20201,11710,송파구,3995905,08
20201,11200,성동구,3734499,07
20201,11305,강북구,2547460,06
20201,11470,양천구,3796034,08
20201,11110,종로구,3725859,07
20201,11170,용산구,3971498,08
20201,11230,동대문구,3030256,07
20201,11380,은평구,2912739,06
20201,11680,강남구,4943841,09
20201,11740,강동구,3292857,07
20201,11140,중구,3513603,07
20194,11215,광진구,3192971,07
20194,11440,마포구,3832436,08
20194,11530,구로구,2994059,07
20194,11560,영등포구,3604887,07
20194,11620,관악구,2771927,06
20194,11320,도봉구,2785111,06
20194,11545,금천구,2632285,06
20194,11590,동작구,3454170,07
20194,11350,노원구,3195375,07
20194,11410,서대문구,3417706,07
20194,11650,서초구,4912401,09
20194,11260,중랑구,2598785,06
20194,11290,성북구,3281773,07
20194,11500,강서구,3160623,07
20194,11710,송파구,3995905,08
20194,11200,성동구,3734499,07
20194,11305,강북구,2547460,06
20194,11470,양천구,3796034,08
20194,11110,종로구,3725859,07
20194,11170,용산구,3971498,08
20194,11230,동대문구,3030256,07
20194,11380,은평구,2912739,06
20194,11680,강남구,4943841,09
20194,11740,강동구,3292857,07
20194,11140,중구,3513603,07
20193,11230,동대문구,3103926,07
20193,11500,강서구,3251146,07
20193,11530,구로구,3135990,07
20193,11545,금천구,2760087,06
20193,11560,영등포구,3757774,08
20193,11590,동작구,3596409,07
20193,11140,중구,3607465,07
20193,11170,용산구,4085781,08
20193,11200,성동구,3833236,08
20193,11680,강남구,5126808,09
20193,11110,종로구,3821536,08
20193,11380,은평구,3008434,07
20193,11470,양천구,3939633,08
20193,11710,송파구,4126356,08
20193,11410,서대문구,3466211,07
20193,11650,서초구,5127603,09
20193,11215,광진구,3328285,07
20193,11320,도봉구,2910938,06
20193,11350,노원구,3327047,07
20193,11440,마포구,3947573,08
20193,11620,관악구,2937877,06
20193,11740,강동구,3387538,07
20193,11260,중랑구,2701482,06
20244,11620,관악구,2771927,06
20244,11710,송파구,3995905,08
20244,11110,종로구,3725859,07
20244,11290,성북구,3281773,07
20244,11305,강북구,2547460,06
20244,11350,노원구,3195375,07
20244,11545,금천구,2632285,06
20244,11170,용산구,3971498,08
20244,11590,동작구,3454170,07
20244,11650,서초구,4912401,09
20244,11140,중구,3513603,07
20244,11215,광진구,3192971,07
20244,11500,강서구,3160623,07
20244,11740,강동구,3292857,07
20222,11215,광진구,3192971,07
20222,11440,마포구,3832436,08
20222,11530,구로구,2994059,07
20222,11560,영등포구,3604887,07
20222,11620,관악구,2771927,06
20222,11320,도봉구,2785111,06
20222,11545,금천구,2632285,06
20222,11590,동작구,3454170,07
20222,11350,노원구,3195375,07
20222,11410,서대문구,3417706,07
20222,11650,서초구,4912401,09
20222,11260,중랑구,2598785,06
20222,11290,성북구,3281773,07
20222,11500,강서구,3160623,07
20223,11215,광진구,3192971,07
20223,11440,마포구,3832436,08
20223,11530,구로구,2994059,07
20223,11560,영등포구,3604887,07
20223,11620,관악구,2771927,06
20223,11320,도봉구,2785111,06
20223,11545,금천구,2632285,06
20223,11590,동작구,3454170,07
20223,11350,노원구,3195375,07
20223,11410,서대문구,3417706,07
20223,11650,서초구,4912401,09
20193,11290,성북구,3382636,07
20193,11305,강북구,2647046,06
20192,11230,동대문구,3103926,07
20192,11500,강서구,3251146,07
20192,11530,구로구,3135990,07
20192,11545,금천구,2760087,06
20192,11560,영등포구,3757774,08
20192,11590,동작구,3596409,07
20192,11140,중구,3607465,07
20192,11170,용산구,4085781,08
20192,11200,성동구,3833236,08
20192,11680,강남구,5126808,09
20192,11110,종로구,3821536,08
20192,11380,은평구,3008434,07
20192,11470,양천구,3939633,08
20192,11710,송파구,4126356,08
20192,11410,서대문구,3466211,07
20192,11650,서초구,5127603,09
20192,11215,광진구,3328285,07
20192,11320,도봉구,2910938,06
20192,11350,노원구,3327047,07
20192,11440,마포구,3947573,08
20192,11620,관악구,2937877,06
20192,11740,강동구,3387538,07
20192,11260,중랑구,2701482,06
20192,11290,성북구,3382636,07
20192,11305,강북구,2647046,06
20191,11230,동대문구,3103926,07
20191,11500,강서구,3251146,07
20191,11530,구로구,3135990,07
20191,11545,금천구,2760087,06
20191,11560,영등포구,3757774,08
20191,11590,동작구,3596409,07
20191,11140,중구,3607465,07
20191,11170,용산구,4085781,08
20191,11200,성동구,3833236,08
20191,11680,강남구,5126808,09
20191,11110,종로구,3821536,08
20191,11380,은평구,3008434,07
20191,11470,양천구,3939633,08
20191,11710,송파구,4126356,08
20191,11410,서대문구,3466211,07
20191,11650,서초구,5127603,09
20191,11215,광진구,3328285,07
20191,11320,도봉구,2910938,06
20191,11350,노원구,3327047,07
20191,11440,마포구,3947573,08
20191,11620,관악구,2937877,06
20191,11740,강동구,3387538,07
20191,11260,중랑구,2701482,06
20191,11290,성북구,3382636,07
20191,11305,강북구,2647046,06
20214,11215,광진구,3192971,07
20214,11440,마포구,3832436,08
20214,11530,구로구,2994059,07
20214,11560,영등포구,3604887,07
20214,11620,관악구,2771927,06
20214,11320,도봉구,2785111,06
20214,11545,금천구,2632285,06
20214,11590,동작구,3454170,07
20214,11350,노원구,3195375,07
20214,11410,서대문구,3417706,07
20214,11650,서초구,4912401,09
20214,11260,중랑구,2598785,06
20214,11290,성북구,3281773,07
20214,11500,강서구,3160623,07
20214,11710,송파구,3995905,08
20214,11200,성동구,3734499,07
20214,11305,강북구,2547460,06
20214,11470,양천구,3796034,08
20214,11110,종로구,3725859,07
20214,11170,용산구,3971498,08
20214,11230,동대문구,3030256,07
20214,11380,은평구,2912739,06
20214,11680,강남구,4943841,09
20214,11740,강동구,3292857,07
20214,11140,중구,3513603,07
20224,11215,광진구,3192971,07
20224,11440,마포구,3832436,08
20224,11530,구로구,2994059,07
20224,11560,영등포구,3604887,07
20224,11620,관악구,2771927,06
20224,11320,도봉구,2785111,06
20224,11545,금천구,2632285,06
20224,11590,동작구,3454170,07
20224,11350,노원구,3195375,07
20224,11410,서대문구,3417706,07
20224,11650,서초구,4912401,09
20224,11260,중랑구,2598785,06
20224,11290,성북구,3281773,07
20224,11500,강서구,3160623,07
20224,11710,송파구,3995905,08
20224,11200,성동구,3734499,07
20224,11305,강북구,2547460,06
20224,11470,양천구,3796034,08
20224,11110,종로구,3725859,07
20224,11170,용산구,3971498,08
20224,11230,동대문구,3030256,07
20224,11380,은평구,2912739,06
20224,11680,강남구,4943841,09
20224,11740,강동구,3292857,07
20224,11140,중구,3513603,07
20232,11215,광진구,3192971,07
20232,11440,마포구,3832436,08
20232,11530,구로구,2994059,07
20232,11560,영등포구,3604887,07
20232,11620,관악구,2771927,06
20232,11320,도봉구,2785111,06
20232,11545,금천구,2632285,06
20232,11590,동작구,3454170,07
20232,11350,노원구,3195375,07
20232,11410,서대문구,3417706,07
20232,11650,서초구,4912401,09
20232,11260,중랑구,2598785,06
20232,11290,성북구,3281773,07
20232,11500,강서구,3160623,07
20232,11710,송파구,3995905,08
20232,11200,성동구,3734499,07
20232,11305,강북구,2547460,06
20232,11470,양천구,3796034,08
20232,11110,종로구,3725859,07
20232,11170,용산구,3971498,08
20232,11230,동대문구,3030256,07
20232,11380,은평구,2912739,06
20232,11680,강남구,4943841,09
20232,11740,강동구,3292857,07
20232,11140,중구,3513603,07
20233,11215,광진구,3192971,07
20233,11440,마포구,3832436,08
20233,11530,구로구,2994059,07
20233,11560,영등포구,3604887,07
20233,11620,관악구,2771927,06
20233,11320,도봉구,2785111,06
20233,11545,금천구,2632285,06
20233,11590,동작구,3454170,07
20233,11350,노원구,3195375,07
20233,11410,서대문구,3417706,07
20233,11650,서초구,4912401,09
20233,11260,중랑구,2598785,06
20233,11290,성북구,3281773,07
20233,11500,강서구,3160623,07
20233,11710,송파구,3995905,08
20233,11200,성동구,3734499,07
20233,11305,강북구,2547460,06
20233,11470,양천구,3796034,08
20233,11110,종로구,3725859,07
20233,11170,용산구,3971498,08
20233,11230,동대문구,3030256,07
20233,11380,은평구,2912739,06
20233,11680,강남구,4943841,09
20233,11740,강동구,3292857,07
20233,11140,중구,3513603,07
20234,11260,중랑구,2598785,06
20234,11470,양천구,3796034,08
20234,11320,도봉구,2785111,06
20234,11380,은평구,2912739,06
20234,11530,구로구,2994059,07
20234,11680,강남구,4943841,09
20234,11200,성동구,3734499,07
20234,11230,동대문구,3030256,07
20234,11410,서대문구,3417706,07
20234,11440,마포구,3832436,08
20234,11560,영등포구,3604887,07
20234,11620,관악구,2771927,06
20234,11710,송파구,3995905,08
20234,11110,종로구,3725859,07
20234,11290,성북구,3281773,07
20234,11305,강북구,2547460,06
20234,11350,노원구,3195375,07
20234,11545,금천구,2632285,06
20234,11170,용산구,3971498,08
20234,11590,동작구,3454170,07
20234,11650,서초구,4912401,09
20234,11140,중구,3513603,07
20234,11215,광진구,3192971,07
20234,11500,강서구,3160623,07
20234,11740,강동구,3292857,07
20241,11260,중랑구,2598785,06
20241,11470,양천구,3796034,08
20241,11320,도봉구,2785111,06
20241,11380,은평구,2912739,06
20241,11530,구로구,2994059,07
20241,11680,강남구,4943841,09
20241,11200,성동구,3734499,07
20241,11230,동대문구,3030256,07
20241,11410,서대문구,3417706,07
20241,11440,마포구,3832436,08
20241,11560,영등포구,3604887,07
20241,11620,관악구,2771927,06
20241,11710,송파구,3995905,08
20241,11110,종로구,3725859,07
20241,11290,성북구,3281773,07
20241,11305,강북구,2547460,06
20241,11350,노원구,3195375,07
20241,11545,금천구,2632285,06
20241,11170,용산구,3971498,08
20241,11590,동작구,3454170,07
20241,11650,서초구,4912401,09
20241,11140,중구,3513603,07
20241,11215,광진구,3192971,07
20243,11500,강서구,3160623,07
20243,11740,강동구,3292857,07
