,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
35006,20244,D,발달상권,3120160,사당역(사당),CS300029,애완동물,25092091,593,16673881,8418210,2643681,2874745,2763424,4546594,3845437,3373067,5045143,277276,1460365,7806519,7815626,6997912,734393,7193006,17899085,0,3873438,6348431,6397830,5778628,2693764,425,168,69,86,88,96,86,77,91,5,36,159,182,178,33,154,439,0,101,155,137,141,59
35007,20244,A,골목상권,3111006,석촌고분역 1번,CS300029,애완동물,9633985,57,5650006,3983979,5650006,0,0,0,0,0,3983979,0,2462823,0,3187183,3983979,0,1738464,7895521,0,0,0,7895521,0,1738464,28,29,28,0,0,0,0,0,29,0,14,0,14,29,0,14,43,0,0,0,42,0,15
35008,20244,A,골목상권,3111004,삼전역 1번,CS300029,애완동물,246635432,5957,137097318,109538114,17533998,27034099,32981752,25323894,34223575,58307588,51230526,7154181,16278778,61289812,66092027,76746262,19074372,105395575,141239857,320708,44361856,60840045,72539090,39254645,29319088,3808,2149,443,821,871,921,752,1081,1068,308,502,1148,1582,1642,775,2280,3677,39,830,1586,1410,1080,1012
35009,20244,D,발달상권,3120248,명일역,CS300029,애완동물,58379485,3738,42614370,15765115,8612415,7449066,8899401,9598249,8055239,7802130,7962985,431181,3721453,9172390,18155787,15697496,11201178,25797498,32581987,789691,9097869,8994179,11267764,14361272,13868710,2800,938,476,546,546,672,560,420,518,28,210,686,924,1190,700,1729,2009,70,660,619,618,787,984
35010,20244,D,발달상권,3120245,둔촌역,CS300029,애완동물,76633945,476,51728409,24905536,13580714,16840212,7323030,6335216,7649237,18812105,6093431,0,1190545,14070600,41917467,19455333,0,14949295,61684650,0,427287,15215201,11062938,17664921,32263598,384,92,99,102,62,51,70,69,23,0,40,85,162,189,0,184,292,0,23,75,68,149,161
37610,20244,D,발달상권,3120104,연남동(홍대),CS300029,애완동물,3797197,67,1968298,1828899,362434,0,0,1271309,334555,1405130,423769,0,0,0,2102120,1695077,0,1131910,2665287,0,0,797355,0,1940418,1059424,28,39,6,0,0,16,6,27,12,0,0,0,39,28,0,28,39,0,0,22,0,28,17
37632,20244,A,골목상권,3110646,푸른들청소년도서관,CS300029,애완동물,5379007,132,2986244,2392763,0,781886,546379,357973,1300006,2392763,0,0,0,706525,3127548,1544934,0,2128994,3250013,0,0,1582615,1507252,1422470,866670,85,47,0,19,20,18,28,47,0,0,0,27,77,28,0,47,85,0,0,38,38,38,18
37694,20244,A,골목상권,3110254,오거리공원,CS300029,애완동물,8719314,228,5523391,3195923,1910608,1459009,1354793,0,798981,1146363,2049560,0,0,1007410,4620195,2952756,138953,4342288,4377026,0,764242,1702177,1806392,3508569,937934,145,83,33,42,42,0,28,28,55,0,0,35,110,76,7,124,104,0,21,48,48,90,21
37695,20244,A,골목상권,3110407,도봉역 2번,CS300029,애완동물,102981446,58,102981446,0,0,66981446,24827587,0,11172413,0,0,0,0,96423132,0,0,6558314,37892473,65088973,0,0,0,60423132,0,42558314,58,0,0,33,12,0,13,0,0,0,0,45,0,0,13,10,48,0,0,0,20,0,38
37696,20244,D,발달상권,3120081,노원역,CS300029,애완동물,4883864,118,3699896,1183968,1011305,1060636,517985,345324,764646,1183968,0,0,591984,1874614,2170606,246660,0,1603289,3033916,0,221994,641315,937307,1430628,1405961,88,30,24,24,5,10,25,30,0,0,15,48,50,5,0,35,78,0,5,10,20,44,35
