,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
47166,20242,A,골목상권,3110564,홍대입구역 3번,CS300029,애완동물,50230991,60,24450267,25780724,5623059,3162971,0,7631295,8032942,100412,25680312,0,0,7606192,28868385,13756414,0,36876225,13354766,0,5723471,1004118,3162971,33311607,7028824,30,30,5,5,0,10,10,15,15,0,0,10,20,30,0,30,30,0,20,5,5,25,5
47257,20242,D,발달상권,3120236,장지역(가든파이브),CS300029,애완동물,700066,41,700066,0,0,700066,0,0,0,0,0,0,0,700066,0,0,0,0,700066,0,0,0,0,0,700066,41,0,0,41,0,0,0,0,0,0,0,41,0,0,0,0,41,0,0,0,0,0,41
48528,20242,A,골목상권,3110314,종암경찰서,CS300029,애완동물,6845719,165,5494590,1351129,1065891,292744,1065891,1125941,1944123,1351129,0,0,0,2799839,2995002,1050878,0,2904927,3940792,0,0,675565,2026693,3580490,562971,149,16,29,23,23,30,44,16,0,0,0,75,67,23,0,60,105,0,0,16,30,96,23
48529,20242,A,골목상권,3111066,암사동성당(효정하나플러스아파트),CS300029,애완동물,10162553,179,5819839,4342714,801761,0,891370,2617511,1509197,2476026,1866688,0,235812,2809936,4055965,3060840,0,4126709,6035844,0,896086,2782582,4314415,1485615,683855,99,80,15,0,14,38,32,48,32,0,5,52,71,51,0,71,108,0,14,52,80,19,14
49910,20242,D,발달상권,3120245,둔촌역,CS300029,애완동물,78167009,638,55360002,22807007,13368220,10134853,7781903,14437527,9637499,20412134,2394873,0,2531560,18479293,42268599,14887557,0,24299008,53868001,0,269351,23043048,12283635,14733929,27837046,384,254,110,86,63,57,68,174,80,0,34,230,219,155,0,230,408,0,18,166,104,201,149
49911,20242,D,발달상권,3120081,노원역,CS300029,애완동물,5219321,129,2861254,2358067,419322,468653,912641,863310,197328,2358067,0,0,493320,2811920,1914081,0,0,665982,4553339,0,591984,73998,1652620,1751285,1149434,80,49,10,10,20,35,5,49,0,0,10,64,55,0,0,15,114,0,10,15,34,40,30
49912,20242,D,발달상권,3120113,오목교역,CS300029,애완동물,112001779,844,70296075,41705704,6283798,8071016,6575958,26465776,22899527,31348601,10357103,0,71499,21206912,20276383,58766419,11680566,50986308,61015471,592217,17999264,39981023,25729174,19533759,8166342,487,357,68,119,111,99,90,217,140,0,8,92,282,389,73,330,514,54,164,289,207,105,25
49913,20242,A,골목상권,3110804,신풍역 1번,CS300029,애완동물,5503449,109,5250001,253448,1013793,1882760,905172,289655,1158621,253448,0,0,0,2027586,2643105,832758,0,2751724,2751725,0,0,1339656,1520689,832759,1810345,102,7,21,30,15,7,29,7,0,0,0,44,44,21,0,50,59,0,0,14,28,22,45
51208,20242,D,발달상권,3120049,왕십리역(왕십리),CS300029,애완동물,33422391,863,24108974,9313417,1754151,4159138,7936460,5014245,5244980,3801216,5512201,0,4761413,9923400,10459128,8278450,0,12608308,20814083,0,2166836,6208768,8884919,9494786,6667082,600,263,41,93,193,134,139,103,160,0,133,216,262,252,0,335,528,0,69,160,201,247,186
51209,20242,R,전통시장,3130221,"남부골목시장(남부화곡시장, 남부시장)",CS300029,애완동물,144557640,11593,95549095,49008545,16283484,14570819,36326047,11681247,16687498,30204370,18804175,0,15413978,30090192,56921931,42131539,0,61743740,82813900,0,15870688,8616019,22343680,50975911,46751342,7642,3951,1669,790,2373,1317,1493,2107,1844,0,439,2634,5094,3426,0,4830,6763,0,790,965,2722,3339,3777
51288,20242,D,발달상권,3120110,목동역 8번출구,CS300029,애완동물,3947858,6,0,3947858,0,0,0,0,0,3947858,0,0,0,0,0,3947858,0,3947858,0,0,0,0,3947858,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,0,0,0,6,0,0
52531,20242,D,발달상권,3120178,신사역,CS300029,애완동물,106718957,856,73253565,33465392,14137289,14545498,19768977,10803140,13998661,27507176,5958216,0,21884114,29780174,30536996,23367037,1150636,43508878,61236491,0,10293735,18825423,18639309,47914406,9072496,614,242,159,101,124,80,150,152,90,0,143,254,240,182,37,293,506,0,72,132,193,327,76
52532,20242,R,전통시장,3130072,성동용답상가시장,CS300029,애완동물,52982387,3261,38042337,14940050,5558779,9732728,8288361,7091322,7371147,10303985,4636065,0,1213235,9967292,12325365,25820655,3655840,16729926,36252461,0,8320300,7347399,9063133,15536573,12714982,2397,864,371,594,491,499,442,529,335,0,80,666,793,1463,259,1040,2221,0,474,566,409,1029,783
52533,20242,R,전통시장,3130112,사가정시장,CS300029,애완동물,6232221,248,4152526,2079695,1077599,1736510,302002,809914,226501,857961,1221734,0,329457,1564919,1551191,2786654,0,3033745,3198476,0,0,302001,212773,2189515,3527932,171,77,41,61,28,27,14,49,28,0,21,76,82,69,0,83,165,0,0,28,21,68,131
52534,20242,D,발달상권,3120108,신정네거리역,CS300029,애완동물,32426650,656,21321335,11105315,2345269,6503616,3234557,3536448,5701445,7189344,3915971,0,2134807,9703671,15172229,5415943,0,11730660,20695990,0,706427,4830272,6106843,11113939,9669169,406,250,43,146,70,61,86,172,78,0,70,190,250,146,0,241,415,0,26,96,129,233,172
52535,20242,A,골목상권,3110752,한울중학교,CS300029,애완동물,2135931,50,1915732,220199,302774,0,979886,440398,192674,220199,0,0,0,401864,1348719,385348,0,357823,1778108,0,302774,0,0,688122,1145035,44,6,6,0,21,11,6,6,0,0,0,11,27,12,0,11,39,0,6,0,0,17,27
53879,20242,D,발달상권,3120171,서초3동사거리,CS300029,애완동물,7389561,158,6436948,952613,378324,1692932,1311885,2231838,821969,952613,0,0,1959663,2106637,2950380,372881,0,1790914,3856726,0,193244,479029,272176,3750577,952614,142,16,11,21,39,39,32,16,0,0,55,39,38,26,0,38,103,0,16,10,10,76,27
53880,20242,D,발달상권,3120186,가로수길,CS300029,애완동물,58769305,660,19392558,39376747,4748770,3937825,3603520,4594130,2508313,2182211,37194536,0,2144474,5955960,7262827,43406044,0,7218525,51550780,0,1886874,39282403,3598188,8045880,5955960,513,147,122,95,95,111,90,77,70,0,57,148,196,259,0,164,496,0,49,112,115,249,135
53881,20242,A,골목상권,3111005,삼전역 3번,CS300029,애완동물,18727174,968,10723130,8004044,2332759,1703105,1540849,2178276,2968141,3908021,4096023,1341379,480000,6059152,3974229,4731724,2140690,7255875,11471299,0,3242037,6082746,5311167,700346,3390878,606,362,155,95,90,129,137,179,183,83,49,180,141,364,151,351,617,0,158,392,294,41,83
53882,20242,A,골목상권,3110464,연신내역 5번,CS300029,애완동물,6992820,647,4982211,2010609,794125,789121,862333,1444437,1092195,1180040,830569,1247159,486810,977101,1007233,2097253,1177264,3110306,3882514,0,1542453,3406746,810008,814250,419363,463,184,97,104,65,110,87,76,108,93,49,87,81,217,120,282,365,0,158,315,71,55,48
53883,20242,D,발달상권,3120093,연희동,CS300029,애완동물,19874706,491,7898721,11975985,971026,1049335,4040720,1754111,83529,4364396,7611589,0,835291,4019838,11657531,3205429,156617,8932394,9616288,167058,2391021,6473506,2683372,1921170,4912555,355,136,31,83,126,94,21,95,41,0,10,137,188,146,10,146,313,20,41,62,74,30,230
55271,20242,R,전통시장,3130073,뚝도시장,CS300029,애완동물,167869703,3901,120049849,47819854,26444930,6012303,26062193,18770885,42759538,43571031,4248823,0,7749136,56540357,56278741,46303455,998014,54810790,72484346,0,15655727,23353994,28927849,26820396,32537168,2713,1188,557,436,387,532,801,922,266,0,192,1213,1163,1237,96,1551,1987,0,315,556,630,777,1259
55272,20242,D,발달상권,3120058,구의사거리,CS300029,애완동물,13379918,350,9492037,3887881,1119308,1344693,2143437,1934042,2950557,1755105,2132776,0,1876934,5459482,2086329,3191932,765241,4119358,9260560,0,129443,1591397,4429262,3491175,3738641,236,114,31,45,68,38,54,60,54,0,45,106,61,115,23,83,267,0,16,68,129,68,69
55273,20242,D,발달상권,3120057,아차산역,CS300029,애완동물,36335354,21,23194307,13141047,0,0,23194307,0,0,0,13141047,0,0,13141047,23194307,0,0,21040037,15295317,0,13141047,15295317,0,0,7898990,14,7,0,0,14,0,0,0,7,0,0,7,14,0,0,14,7,0,7,7,0,0,7
55326,20242,A,골목상권,3110255,상봉역 4번,CS300029,애완동물,21078291,14,21078291,0,0,0,0,21078291,0,0,0,0,0,0,0,0,21078291,0,21078291,0,0,0,0,0,21078291,14,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,14
56595,20242,A,골목상권,3111004,삼전역 1번,CS300029,애완동물,315122653,8635,194473515,120649138,26171693,32578961,59361878,34822222,41538761,63964729,56684409,11938962,16749748,56673276,107665875,98322417,23772375,134566035,180556618,401628,53295301,69628791,78399890,67842364,45554679,5728,2907,1072,1141,1384,990,1141,1506,1401,486,642,1571,1862,2642,1432,3353,5282,39,1208,2153,2062,1746,1427
56597,20242,D,발달상권,3120156,"총신대입구역(이수, 총신대)",CS300029,애완동물,57081443,678,39770261,17311182,6725565,11392292,11313347,3061049,7278008,7048038,10263144,1581148,3890203,6292032,20131467,21925280,3261313,16653301,40428142,0,11663475,9401250,11694249,2745711,21576758,438,240,102,80,90,63,103,85,155,13,57,94,161,291,62,205,473,0,67,147,166,62,236
56598,20242,A,골목상권,3110032,수족관거리,CS300029,애완동물,25300318,1050,24345589,954729,0,1718512,12888841,3723443,6014793,954729,0,0,0,0,17376068,7924250,0,21004038,4296280,0,0,0,0,10502018,14798300,955,95,0,192,286,286,191,95,0,0,0,0,764,286,0,668,382,0,0,0,0,286,764
56599,20242,A,골목상권,3110254,오거리공원,CS300029,애완동물,11289949,263,7260307,4029642,868458,764243,2014822,1973137,1639647,1354794,2674848,0,69477,1903658,4245022,5071792,0,5634553,5238536,0,1042150,5141268,2466420,972672,1250578,179,84,21,21,49,47,41,35,49,0,7,63,103,90,0,125,132,0,28,103,63,35,28
56600,20242,A,골목상권,3110249,중화역 1번,CS300029,애완동물,956351,169,731327,225024,281280,0,0,450047,0,225024,0,0,0,0,281280,675071,0,225024,731327,0,450047,0,0,506304,0,113,56,56,0,0,57,0,56,0,0,0,0,56,113,0,56,113,0,56,0,0,113,0
56601,20242,A,골목상권,3110422,노원역 9번,CS300029,애완동물,70039941,438,48457175,21582766,20549901,716449,12788696,2939908,11462221,9551377,12031389,0,304063,18736927,15549966,15684896,19764089,43874376,26165565,12675623,29368675,1819627,4958126,2027720,19190170,267,171,67,38,76,57,29,86,85,0,9,58,198,144,29,162,276,38,132,77,95,39,57
56602,20242,D,발달상권,3120096,"이화여대(이대역, 이대)",CS300029,애완동물,30392732,132,20724102,9668630,34079,7041077,1761713,7532047,4355186,34079,9634551,0,0,178482,150178,28042433,2021639,7942149,22450583,1126341,13018195,103970,11812144,0,4332082,97,35,6,17,34,28,12,6,29,0,0,12,23,91,6,74,58,17,46,40,23,0,6
56603,20242,R,전통시장,3130202,신영시장,CS300029,애완동물,72262290,3394,47505939,24756351,9055822,8717312,7752755,12599292,9380758,13590718,11165633,0,2612784,19394407,21916472,26467887,1870740,31325700,40936590,0,3514720,8477463,14885895,17072648,28311564,2251,1143,459,466,406,446,474,658,485,0,170,823,997,1337,67,1520,1874,0,134,461,817,766,1216
57979,20242,D,발달상권,3120145,영등포역(영등포),CS300029,애완동물,224579953,3361,137562411,87017542,33558139,45641452,15475459,30131548,12755813,32713096,54304446,0,3984363,97492141,40225975,81737220,1140254,67769558,156810395,0,68323472,47509129,64928694,21153537,22665121,2112,1249,537,378,372,448,377,589,660,0,77,833,935,1439,77,1092,2269,0,651,1026,878,547,259
57980,20242,D,발달상권,3120230,송파사거리(송파역),CS300029,애완동물,11103668,284,8598978,2504690,1720255,1136285,2854246,1727136,1161056,1300512,1204178,0,1137661,2371657,2846448,4435963,311939,4018085,7085583,0,854474,2605078,2088034,1331397,4224685,207,77,42,37,51,45,32,45,32,0,23,50,92,109,10,98,186,0,19,51,70,32,112
57981,20242,R,전통시장,3130024,남대문시장(자유상가),CS300029,애완동물,512318471,6752,512318471,0,54089172,87426751,286547771,20382165,63872612,0,0,0,37197453,131783438,343337580,0,0,148522293,363796178,0,0,3630573,56458598,107974522,344254778,6752,0,1654,1784,1275,637,1402,0,0,0,1019,2801,2932,0,0,3312,3440,0,0,127,892,2419,3314
57982,20242,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300029,애완동물,512318471,6752,512318471,0,54089172,87426751,286547771,20382165,63872612,0,0,0,37197453,131783438,343337580,0,0,148522293,363796178,0,0,3630573,56458598,107974522,344254778,6752,0,1654,1784,1275,637,1402,0,0,0,1019,2801,2932,0,0,3312,3440,0,0,127,892,2419,3314
57983,20242,D,발달상권,3120067,장안동사거리,CS300029,애완동물,54546422,2048,37879070,16667352,7197586,9112621,7229258,6060905,8278700,9879935,6787417,0,0,13835077,18926349,20651175,1133821,26912829,27633593,348868,2895314,6656804,8602888,18325569,17716979,1420,628,235,331,272,271,311,351,277,0,0,465,673,859,51,1049,999,6,130,364,338,630,580
57984,20242,R,전통시장,3130241,선유도역 골목형상점가,CS300029,애완동물,37167922,1183,22354694,14813228,8049764,6670101,663898,3879655,3091276,8941879,5871349,0,518670,3485465,17510314,15653473,0,14150541,21274648,726139,106178,14112480,9666727,6531179,4282486,851,332,187,292,62,144,166,146,186,0,21,207,518,437,0,505,614,21,22,231,360,274,212
59336,20242,D,발달상권,3120208,청담사거리(청담동명품거리),CS300029,애완동물,498140130,1795,420247408,77892722,123162928,95558699,4734235,144460047,52331499,77892722,0,0,0,140461092,234344601,123334437,0,37655372,460484758,0,56774395,89477029,136965042,66855022,148068642,1504,291,364,365,108,339,328,291,0,0,0,547,800,448,0,328,1467,0,36,474,765,266,254
59337,20242,D,발달상권,3120237,경찰병원역,CS300029,애완동물,9615426,217,8366585,1248841,443713,793230,3084174,1755020,2290448,371331,877510,0,342080,4070258,4125288,1077800,0,3098551,6516875,0,371826,946422,1747583,1812033,4737562,177,40,15,20,63,35,44,20,20,0,10,88,89,30,0,70,147,0,15,25,35,50,92
59338,20242,A,골목상권,3110654,까치산역 4번,CS300029,애완동물,26504111,426,20821129,5682982,3470188,5270895,3769242,3478064,4832740,5682982,0,0,4206011,9124441,10960698,2212961,0,4211835,22292276,0,1419845,9491770,3059876,2171363,10361257,337,89,45,103,84,60,45,89,0,0,66,127,177,56,0,105,321,0,39,133,78,33,143
60719,20242,D,발달상권,3120194,언주역(차병원),CS300029,애완동물,76087612,1683,37588214,38499398,2116698,1693359,5321985,0,28456172,22767889,15731509,0,8202743,21805831,27919166,6487793,11672079,11363622,64723990,29006,13012525,28545562,28730403,4896026,874090,463,1220,6,6,6,0,445,661,559,0,148,660,713,156,6,423,1260,5,482,640,324,195,37
60720,20242,D,발달상권,3120248,명일역,CS300029,애완동물,84892616,5250,54068377,30824239,7673056,11622279,12234052,10169145,12369845,15014328,15809911,464779,7908246,16565457,15802493,32330570,11821071,31432495,53460121,156948,9012787,15962627,23371125,19616809,16772320,3528,1722,532,714,798,686,798,924,798,28,546,910,1036,1946,784,2035,3215,28,646,1109,1025,1137,1305
60721,20242,R,전통시장,3130110,면목골목시장(면목시장),CS300029,애완동물,241169339,13357,175185449,65983890,26396569,41756491,41696235,36579609,28756545,27641832,38342058,0,17478877,54666054,58246186,106108484,4669738,56041870,185127469,311316,15410133,49323473,42499631,93123601,40501185,9440,3917,1758,1807,1908,2009,1958,1808,2109,0,1054,2661,3866,5374,402,3967,9390,50,1557,3515,2159,4167,1909
60722,20242,A,골목상권,3110646,푸른들청소년도서관,CS300029,애완동물,12415993,283,9147139,3268854,1836964,1836965,3551463,1017396,904351,3268854,0,0,0,3975378,4465237,3975378,0,6330460,6085533,0,357972,3796391,1045657,4710166,2505807,207,76,47,47,57,27,29,76,0,0,0,67,103,113,0,113,170,0,10,46,28,143,56
60723,20242,D,발달상권,3120131,가산디지털단지,CS300029,애완동물,255427262,4577,93615553,161811709,16622789,11293295,0,31784708,33914761,57078986,104732723,0,0,39767395,139730386,75929481,0,115624944,139802318,1351446,65786659,59252199,103342042,15960144,9734772,2571,2006,479,436,0,654,1002,1091,915,0,0,872,2571,1134,0,1963,2614,88,1480,1090,1308,523,88
63118,20242,D,발달상권,3120221,봉은사역,CS300029,애완동물,45035478,240,12680666,32354812,2453295,0,1051412,0,9175959,10402606,21952206,0,0,21569875,12855901,7423605,3186097,6372194,37611872,0,0,0,8475017,33055753,2453295,80,160,16,0,16,0,48,64,96,0,0,96,96,32,16,16,208,0,0,0,48,160,16
63119,20242,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",CS300029,애완동물,67023137,2123,46653652,20369485,7089569,9139135,11125362,7551911,11747675,6140378,14229107,1326463,3992795,14216124,15841723,25207442,6438590,21776516,45246621,0,8333400,21480688,9910457,10609488,16689104,1550,573,241,291,360,259,399,282,291,51,115,568,528,672,189,685,1438,0,255,587,452,396,433
63120,20242,D,발달상권,3120104,연남동(홍대),CS300029,애완동물,5305480,72,3521188,1784292,1413493,0,0,2085391,22304,696989,1087303,0,0,432134,1979449,2893897,0,2835352,2470128,0,0,1352158,1087303,2169030,696989,48,24,16,0,0,26,6,12,12,0,0,18,21,33,0,34,38,0,0,21,12,27,12
63121,20242,A,골목상권,3110660,등촌3동주민센터,CS300029,애완동물,70113701,2817,48326379,21787322,8590261,9404152,10594691,10442865,9294410,14170214,7617108,2125096,8928305,11940674,13004633,25146266,8968727,20658477,47442870,194860,5391708,16507711,16347855,15483870,14175343,1956,861,356,428,428,366,378,517,344,58,326,395,461,1227,350,1061,1698,15,268,624,786,598,467
64752,20242,R,전통시장,3130290,영림시장,CS300029,애완동물,27471412,1989,20977762,6493650,3664876,3196880,3510874,4778842,5826290,3998047,2495603,1688444,1468108,4864530,4917861,9242487,5289982,8141526,19329886,41946,7482975,7532892,4177815,5139575,3096209,1342,647,228,204,282,305,323,335,312,168,114,288,366,639,414,654,1335,6,627,522,390,252,192
64753,20242,U,관광특구,3001494,종로?청계 관광특구,CS300029,애완동물,693240148,13552,422622154,270617994,18210051,114338178,78969463,61471512,149632950,177902107,92715887,0,84774006,77898885,414194864,111451132,4921261,401612546,211552102,0,18886064,52156371,68259708,69464081,404398420,8794,4758,879,1879,2289,1874,1873,2016,2742,0,1187,3174,5733,3280,178,7777,5012,0,742,1893,2270,1946,5935
64754,20242,R,전통시장,3130018,동대문문구완구거리(동대문문구완구시장),CS300029,애완동물,425991867,4145,266128789,159863078,0,77966302,34016462,30300377,123845648,123202479,36660599,0,35945966,32944515,305647914,51453472,0,244475453,127275879,0,11505568,41877408,41234240,16436525,260697589,2429,1716,0,429,642,571,787,572,1144,0,214,1001,1858,1072,0,2573,1287,0,500,1214,786,357,1000
64755,20242,D,발달상권,3120076,수유역,CS300029,애완동물,23359606,29,23359606,0,2479167,9359606,11520833,0,0,0,0,0,0,4679803,2479167,16200636,0,23140856,218750,0,0,23140856,218750,0,0,29,0,4,10,15,0,0,0,0,0,0,5,4,20,0,17,12,0,0,17,12,0,0
64756,20242,A,골목상권,3110376,수송초등학교,CS300029,애완동물,3030767,241,2513571,517196,0,341349,482716,0,1689506,0,517196,0,482716,861993,1686058,0,0,1479180,1551587,0,0,134471,0,2689418,206878,206,35,0,68,70,0,68,0,35,0,69,69,103,0,0,69,172,0,0,34,0,173,34
64757,20242,R,전통시장,3130147,쌍문역동측상점가,CS300029,애완동물,36982555,1850,30040865,6941690,5928953,5316505,6972989,6018328,5804090,4583832,2357858,637851,1078949,6349211,8952952,15643477,4320115,14977487,22005068,103890,6075891,8179242,4170677,9106909,9345946,1398,452,301,241,336,269,251,262,190,35,46,223,409,852,285,674,1176,12,318,549,190,423,358
67871,20241,D,발달상권,3120049,왕십리역(왕십리),CS300029,애완동물,42077315,1043,28122582,13954733,1697881,6972667,6738077,6416333,6297624,6130045,7824688,0,3442114,11726577,15442280,11466344,0,13196000,28881315,43680,7214497,8205359,7207896,12204432,7201451,657,386,51,149,149,159,149,175,211,0,103,294,390,256,0,314,729,5,139,238,187,298,176
67872,20241,A,골목상권,3110032,수족관거리,CS300029,애완동물,41912602,954,10692965,31219637,6587630,3818916,286419,0,0,22818022,8401615,0,0,3818916,18044378,12697895,7351413,27591667,286419,0,0,0,11647693,5823847,10406546,285,669,95,95,95,0,0,479,190,0,0,95,478,286,95,668,95,0,0,0,382,190,190
67873,20241,A,골목상권,3110314,종암경찰서,CS300029,애완동물,5326449,144,4223027,1103422,1025356,1463723,300251,900752,532945,1103422,0,0,0,1463722,3412351,450376,0,2379487,2946962,0,472895,345288,750627,3385328,372311,106,38,29,30,8,23,16,38,0,0,0,38,98,8,0,60,84,0,15,8,15,90,16
67874,20241,D,발달상권,3120096,"이화여대(이대역, 이대)",CS300029,애완동물,63704708,237,34708639,28996069,7566703,10350787,9264880,3095994,4430275,46209,28949860,0,0,8750805,19245995,35707908,0,23404794,40299914,0,26974431,6376824,16230867,14122586,0,127,110,11,46,35,23,12,30,80,0,0,18,115,104,0,93,144,0,82,80,41,34,0
67875,20241,D,발달상권,3120093,연희동,CS300029,애완동물,28243278,418,5408509,22834769,1012790,1837640,1075437,62647,1419995,20892717,1942052,0,104411,10608196,8018795,9365700,146176,10743931,13416862,730880,5544245,4343513,10368050,605586,2568519,198,220,31,42,74,10,41,168,52,0,10,146,115,137,10,178,219,10,52,41,116,31,147
67876,20241,D,발달상권,3120160,사당역(사당),CS300029,애완동물,19426604,528,12175547,7251057,3043432,736215,1988281,3365553,3042066,5686657,1564400,0,749419,5801164,8273653,3283601,1318767,5721715,13704889,0,1869904,6101660,2164254,4718923,4571863,345,183,86,32,54,73,100,128,55,0,27,124,212,128,37,150,378,0,55,132,90,128,123
67877,20241,D,발달상권,3120237,경찰병원역,CS300029,애완동물,31605228,402,7483128,24122100,1741634,1224548,2598322,937003,981621,16622119,7499981,0,121463,5079146,16362336,10042283,0,16665158,14940070,862670,2911647,10945670,4199157,7217646,5468438,225,177,60,50,50,35,30,117,60,0,15,104,203,80,0,176,226,5,20,81,50,96,150
68030,20241,A,골목상권,3110716,구로나눔길,CS300029,애완동물,5421028,59,1516258,3904770,0,0,0,0,1516258,503196,3401574,0,761834,1516258,2639740,503196,0,1265030,4155998,0,1817878,503196,1560723,1539231,0,15,44,0,0,0,0,15,7,37,0,7,15,30,7,0,15,44,0,22,7,15,15,0
68031,20241,A,골목상권,3110128,성원중학교,CS300029,애완동물,77525467,53,32079504,45445963,0,0,0,32079504,0,45445963,0,0,0,0,32079504,45445963,0,77525467,0,0,32079504,0,0,45445963,0,26,27,0,0,0,26,0,27,0,0,0,0,26,27,0,53,0,0,26,0,0,27,0
70655,20241,D,발달상권,3120067,장안동사거리,CS300029,애완동물,46888692,1977,30597447,16291245,8608512,5546553,7325152,4530183,4587047,9428240,6863005,0,0,11026864,14472439,18989953,2399436,22550335,24338357,77526,3612075,6699912,5995288,14683981,15819910,1348,629,336,250,301,232,229,377,252,0,0,403,651,806,117,905,1072,6,168,380,284,541,598
70656,20241,R,전통시장,3130110,면목골목시장(면목시장),CS300029,애완동물,234144648,13005,167111321,67033327,40993265,30594311,35997148,34842265,24684332,41450196,25583131,0,9595557,50664140,71236089,101252962,1395900,52742879,181401769,502122,7497677,54260251,58082532,71618070,42183996,9439,3566,2058,1958,2210,1858,1355,1708,1858,0,452,2561,4319,5523,150,3326,9679,50,1007,3934,2269,3727,2018
70657,20241,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300029,애완동물,1141605095,7643,1141605095,0,302484077,58025477,674394904,65566879,41133758,0,0,0,18726115,1006598726,116280254,0,0,122231323,1019373772,0,0,8034242,48109078,96522284,988939491,7643,0,1528,1912,1401,1528,1274,0,0,0,382,4587,2674,0,0,3380,4263,0,0,390,790,2973,3490
70658,20241,A,골목상권,3110118,왕십리역 9번,CS300029,애완동물,2610509,144,1391146,1219363,368391,297890,258171,275548,191146,327679,891684,0,148945,421018,654861,1385685,0,785933,1824576,0,726851,700538,523790,275548,383782,114,30,44,15,15,25,15,10,20,0,25,35,35,49,0,65,79,0,30,34,25,30,25
70659,20241,D,발달상권,3120076,수유역,CS300029,애완동물,15270936,10,15270936,0,5418719,0,9852217,0,0,0,0,0,0,0,0,15270936,0,15270936,0,0,0,15270936,0,0,0,10,0,5,0,5,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0
70660,20241,D,발달상권,3120113,오목교역,CS300029,애완동물,113153709,1259,74989627,38164082,29563663,7951017,20601876,8550861,8322210,10080478,28083604,0,0,24063483,25093856,55145220,8851150,35155216,77998493,637132,17476485,30594197,37345450,26647906,452539,710,549,186,190,96,103,135,256,293,0,0,233,417,499,110,409,850,70,234,372,354,218,11
70661,20241,A,골목상권,3110654,까치산역 4번,CS300029,애완동물,30430424,398,26634559,3795865,1826386,2646401,6237055,8522670,7402047,3795865,0,0,2995539,11089759,12010719,4334407,0,8437092,21993332,0,5412601,4696579,6611427,4054321,9655496,325,73,28,40,56,103,98,73,0,0,34,143,165,56,0,117,281,0,45,83,93,72,105
70662,20241,A,골목상권,3110892,관악구 중앙길,CS300029,애완동물,12397345,261,6242137,6155208,480113,2296919,133736,0,3331369,424612,5730596,0,0,3396899,6362500,2637946,0,7104735,5292610,120363,1899054,4851949,4173906,1138095,213978,188,73,34,60,7,0,87,20,53,0,0,33,155,73,0,141,120,7,46,68,94,33,13
70663,20241,R,전통시장,3130290,영림시장,CS300029,애완동물,20932221,1479,15871623,5060598,4007635,3556415,2448923,3409606,2449044,3057979,2002619,2392717,314595,3371974,2732958,7836698,4283279,5021528,15910693,105464,7211585,5631662,3536043,2459230,1988237,1077,402,251,227,192,210,197,228,174,120,54,216,246,496,347,354,1125,12,483,396,282,210,96
70664,20241,D,발달상권,3120207,선정릉역,CS300029,애완동물,187293187,251,102576692,84716495,2681963,3687699,16846079,37798910,41562041,65280647,19435848,0,2598151,12404077,75991736,57913632,38385591,77265669,110027518,0,22545249,63185364,39793621,61768953,0,167,84,16,8,42,41,60,68,16,0,8,25,67,109,42,109,142,0,58,67,75,51,0
70788,20241,A,골목상권,3110464,연신내역 5번,CS300029,애완동물,2090019,250,1619526,470493,207234,306772,377481,237693,490346,170247,300246,232255,0,279848,646178,574925,356813,571662,1518357,0,1087299,620071,195812,186837,0,163,87,28,21,27,21,66,22,65,16,0,33,66,60,75,65,185,0,130,60,22,38,0
73340,20241,R,전통시장,3130146,쌍문시장(쌍문역골목시장),CS300029,애완동물,150000000,7765,103320210,46679790,14397361,19280883,20798710,25836944,23006312,31585041,15094749,0,1068542,33160638,44941321,70570348,259151,36628565,113371435,698963,6323549,14898344,20299067,67884045,39896032,5856,1909,1058,1133,996,1364,1305,973,936,0,76,1581,2171,3921,16,1903,5862,58,432,1088,1086,3197,1904
