No,분류,분류,분류,2024년 3분기,2024년 3분기,2024년 3분기,2024년 4분기,2024년 4분기,2024년 4분기,2025년 1분기,2025년 1분기,2025년 1분기
No,분류,분류,분류,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률
No,분류,분류,분류,%,%,%,%,%,%,%,%,%
62,서울,기타,천호,0.23,0.82,1.05,0.47,1.04,1.51,0.46,0.77,1.23
63,서울,기타,청량리,0.33,0.80,1.14,0.47,0.81,1.28,0.47,0.75,1.22
64,서울,기타,혜화동,0.56,1.36,1.92,0.72,1.27,1.99,0.70,1.21,1.92
65,서울,기타,화곡,0.34,0.37,0.70,0.52,0.21,0.73,0.52,0.16,0.68
66,부산,부산,부산,0.45,0.22,0.67,0.61,0.05,0.66,0.60,-0.06,0.54
67,부산,개금역,개금역,0.58,0.73,1.31,0.71,0.42,1.12,0.69,0.22,0.92
68,부산,경성대/부경대,경성대/부경대,0.58,0.48,1.06,0.74,0.47,1.21,0.75,0.30,1.05
69,부산,광안리,광안리,0.34,0.71,1.06,0.47,0.63,1.10,0.47,0.52,0.99
70,부산,구서동/금정구청,구서동/금정구청,0.65,-0.07,0.58,0.81,-0.08,0.74,0.77,-0.11,0.66
71,부산,남포동,남포동,0.46,0.02,0.48,0.70,-0.40,0.30,0.69,-0.27,0.41
72,부산,남항동,남항동,0.45,-0.22,0.24,0.60,-0.37,0.22,0.59,-0.38,0.21
73,부산,덕천역,덕천역,0.17,-0.31,-0.14,0.30,-0.07,0.24,0.25,-0.08,0.17
74,부산,동래역,동래역,0.40,-0.11,0.29,0.57,-0.13,0.44,0.57,-0.24,0.33
75,부산,부산대학앞,부산대학앞,0.27,-0.08,0.19,0.38,-0.10,0.27,0.35,-0.26,0.09
76,부산,부산역,부산역,0.58,0.39,0.97,0.76,-0.05,0.72,0.76,-0.16,0.60
77,부산,부전시장,부전시장,0.50,0.77,1.27,0.65,0.54,1.19,0.63,-0.13,0.51
78,부산,사상역,사상역,0.55,-0.08,0.47,0.69,-0.24,0.45,0.69,-0.29,0.40
79,부산,사직야구장,사직야구장,0.52,-0.12,0.40,0.68,-0.19,0.49,0.67,-0.20,0.48
80,부산,서면/전포,서면/전포,0.48,0.69,1.17,0.65,0.25,0.90,0.65,0.06,0.72
81,부산,송정해수욕장,송정해수욕장,0.33,0.54,0.87,0.49,0.37,0.86,0.47,0.25,0.72
82,부산,수영역,수영역,0.63,0.77,1.40,0.78,0.36,1.13,0.77,0.00,0.77
83,부산,연산로터리,연산로터리,0.43,-0.01,0.43,0.60,-0.18,0.42,0.60,-0.05,0.55
84,부산,온천장,온천장,0.39,-0.01,0.38,0.55,0.06,0.62,0.55,-0.37,0.18
85,부산,하단역,하단역,0.61,-0.11,0.50,0.75,-0.13,0.63,0.75,-0.13,0.62
86,부산,해운대,해운대,0.45,0.60,1.06,0.61,0.33,0.94,0.59,0.34,0.93
87,부산,현대백화점주변,현대백화점주변,0.56,0.48,1.04,0.76,-0.16,0.60,0.75,-0.02,0.73
88,대구,대구,대구,0.52,0.28,0.79,0.66,0.06,0.72,0.66,-0.19,0.47
89,대구,경북대북문,경북대북문,0.81,0.12,0.93,0.89,0.05,0.94,0.90,-0.47,0.43
90,대구,동대구,동대구,0.36,0.16,0.52,0.47,0.06,0.53,0.55,0.02,0.57
91,대구,동성로중심,동성로중심,0.54,0.27,0.81,0.70,0.09,0.79,0.67,-0.08,0.59
92,대구,두류감삼역,두류감삼역,0.53,0.18,0.71,0.67,-0.01,0.66,0.69,-0.24,0.45
93,대구,들안길,들안길,0.30,0.48,0.78,0.46,0.32,0.78,0.46,-0.06,0.40
94,대구,삼덕/대봉,삼덕/대봉,0.68,0.14,0.82,0.75,-0.04,0.71,0.80,-0.18,0.62
95,대구,상인/월배,상인/월배,0.71,0.19,0.90,0.89,-0.14,0.76,0.89,-0.57,0.31
96,대구,서문시장/청라언덕,서문시장/청라언덕,0.34,0.31,0.65,0.59,-0.01,0.57,0.58,-0.22,0.36
97,대구,수성범어,수성범어,0.35,0.73,1.08,0.48,0.35,0.83,0.45,-0.04,0.41
98,대구,시지지구,시지지구,0.28,0.52,0.80,0.48,0.50,0.98,0.48,-0.13,0.35
99,대구,월촌/안지랑,월촌/안지랑,0.55,0.10,0.64,0.69,-0.03,0.66,0.66,-0.40,0.26
100,대구,죽전역,죽전역,0.49,0.15,0.65,0.62,-0.24,0.38,0.61,-0.26,0.35
101,대구,칠곡,칠곡,0.44,0.11,0.55,0.62,0.04,0.66,0.65,-0.04,0.62
102,인천,인천,인천,0.66,0.14,0.80,0.83,-0.17,0.65,0.79,-0.36,0.43
103,인천,간석오거리,간석오거리,0.51,0.13,0.64,0.64,-0.25,0.39,0.66,-0.32,0.34
104,인천,검단사거리완정역,검단사거리완정역,0.48,0.28,0.75,0.72,-0.17,0.55,0.71,-0.33,0.38
105,인천,계양계산,계양계산,0.62,-0.05,0.57,0.79,-0.22,0.57,0.79,-0.42,0.37
106,인천,구월,구월,0.57,0.20,0.77,0.45,0.07,0.52,0.25,-0.09,0.16
107,인천,부평,부평,0.74,0.09,0.83,0.92,-0.19,0.74,0.87,-0.40,0.48
108,인천,석남/가정중앙시장,석남/가정중앙시장,0.65,-0.09,0.56,0.77,-0.09,0.68,0.77,-0.50,0.27
109,인천,신포동,신포동,0.83,0.17,1.01,1.01,-0.16,0.86,0.92,-0.27,0.65
110,인천,인천서구청,인천서구청,0.77,0.03,0.80,0.93,-0.15,0.79,0.93,-0.31,0.63
111,인천,주안,주안,0.48,0.18,0.66,0.66,-0.21,0.46,0.61,-0.48,0.12
112,광주,광주,광주,0.60,0.19,0.79,0.75,0.06,0.80,0.75,-0.09,0.66
113,광주,금남로/충장로,금남로/충장로,0.48,-0.08,0.40,0.66,-0.09,0.58,0.66,-0.21,0.46
114,광주,금호지구,금호지구,1.06,0.20,1.27,1.20,0.17,1.38,1.19,-0.19,0.99
115,광주,봉선동,봉선동,0.56,0.20,0.77,0.68,0.20,0.88,0.68,0.11,0.79
116,광주,상무지구,상무지구,0.45,0.11,0.56,0.66,0.09,0.74,0.65,0.08,0.73
117,광주,송정동지구,송정동지구,0.46,0.49,0.95,0.59,0.24,0.83,0.59,0.27,0.87
118,광주,양산지구,양산지구,0.62,0.12,0.74,0.79,-0.11,0.68,0.78,-0.43,0.35
119,광주,용봉동,용봉동,0.41,0.20,0.61,0.56,-0.00,0.55,0.60,-0.12,0.48
120,광주,월산동지구,월산동지구,0.80,0.39,1.19,0.89,0.07,0.96,0.87,-0.13,0.74
121,광주,전남대,전남대,0.61,0.03,0.64,0.71,-0.09,0.62,0.71,-0.27,0.44
122,광주,첨단1지구,첨단1지구,0.61,1.04,1.64,0.78,0.77,1.55,0.77,0.42,1.19
123,대전,대전,대전,0.56,0.11,0.67,0.72,0.08,0.81,0.72,0.19,0.91
124,대전,노은,노은,0.33,0.19,0.52,0.57,0.12,0.69,0.58,0.39,0.98
125,대전,대전원도심,대전원도심,0.60,-0.03,0.57,0.80,-0.02,0.78,0.78,0.00,0.79
126,대전,복합터미널,복합터미널,0.41,-0.23,0.18,0.59,-0.26,0.33,0.58,-0.06,0.52
127,대전,서대전네거리,서대전네거리,0.81,0.00,0.81,0.96,-0.10,0.86,0.96,0.11,1.07
128,대전,용문/한민시장,용문/한민시장,0.51,-0.00,0.50,0.67,0.03,0.70,0.69,0.18,0.87
129,대전,유성온천역,유성온천역,0.42,0.64,1.07,0.55,0.57,1.12,0.56,0.70,1.26
130,울산,울산,울산,0.40,0.10,0.50,0.57,-0.02,0.55,0.56,-0.09,0.47
131,울산,삼산동,삼산동,0.31,0.28,0.59,0.49,0.14,0.63,0.49,0.05,0.54
132,울산,성남옥교동,성남옥교동,0.41,0.07,0.47,0.56,-0.13,0.43,0.56,-0.24,0.32
133,울산,신정동,신정동,0.34,0.14,0.48,0.50,0.11,0.60,0.49,0.06,0.55
134,울산,울산농소,울산농소,0.33,-0.01,0.32,0.54,-0.16,0.38,0.55,-0.26,0.29
135,울산,울산대,울산대,0.29,0.11,0.40,0.47,-0.04,0.43,0.47,-0.12,0.35
136,울산,전하동,전하동,0.57,-0.11,0.45,0.70,-0.02,0.68,0.63,-0.06,0.57
137,세종,세종,세종,0.59,-0.07,0.53,0.80,-0.19,0.61,0.80,-0.13,0.67
138,세종,조치원,조치원,0.61,-0.00,0.60,0.76,0.00,0.76,0.75,0.05,0.80
139,경기,경기,경기,0.57,0.44,1.01,0.74,0.25,0.99,0.73,0.24,0.96
140,경기,고양시청,고양시청,0.39,0.11,0.50,0.59,-0.23,0.36,0.59,-0.03,0.55
141,경기,광명철산,광명철산,0.45,0.87,1.32,0.62,0.92,1.55,0.61,0.30,0.92
142,경기,광주시가지,광주시가지,0.66,0.42,1.08,0.80,0.33,1.14,0.81,0.38,1.19
143,경기,구리역,구리역,0.57,0.31,0.88,0.71,0.33,1.04,0.69,0.23,0.92
144,경기,기흥역,기흥역,0.37,0.91,1.28,0.53,0.70,1.23,0.52,0.30,0.83
145,경기,김량장동,김량장동,0.54,0.61,1.15,0.74,0.82,1.56,0.73,0.32,1.04
146,경기,동두천중앙로,동두천중앙로,0.65,-0.03,0.62,0.78,0.09,0.87,0.75,-0.08,0.68
147,경기,모란,모란,0.59,0.55,1.14,0.79,0.53,1.32,0.75,0.26,1.01
148,경기,병점역,병점역,0.70,0.98,1.68,0.90,0.20,1.10,0.89,0.61,1.51
149,경기,부천역,부천역,0.58,0.42,1.00,0.76,0.39,1.15,0.79,0.41,1.20
150,경기,성남구시가지,성남구시가지,0.39,1.28,1.67,0.53,0.62,1.15,0.52,0.22,0.74
151,경기,수원역,수원역,0.61,0.62,1.23,0.79,0.26,1.05,0.78,0.58,1.36
152,경기,수원파장동,수원파장동,0.60,0.30,0.90,0.73,0.13,0.86,0.57,0.49,1.06
153,경기,신장/지산/서정,신장/지산/서정,0.55,-0.04,0.51,0.72,0.03,0.74,0.68,0.17,0.84
154,경기,신천역,신천역,0.28,0.08,0.36,0.45,-0.13,0.32,0.54,-0.02,0.51
155,경기,안성 서인사거리,안성 서인사거리,0.76,0.01,0.77,0.89,-0.05,0.83,0.88,0.06,0.94
