No,분류,분류,분류,2024년 3분기,2024년 3분기,2024년 3분기,2024년 4분기,2024년 4분기,2024년 4분기,2025년 1분기,2025년 1분기,2025년 1분기
No,분류,분류,분류,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률
No,분류,분류,분류,%,%,%,%,%,%,%,%,%
253,경남,거제고현,거제고현,0.72,-1.10,-0.39,0.91,-1.35,-0.44,0.88,-1.10,-0.22
254,경남,거제옥포,거제옥포,0.49,-0.73,-0.23,0.65,-1.07,-0.42,0.62,-1.10,-0.48
255,경남,김해시청/동상시장,김해시청/동상시장,0.50,-0.13,0.37,0.67,-0.17,0.50,0.67,-0.18,0.48
256,경남,마산동서동,마산동서동,0.76,-0.45,0.31,0.95,-0.31,0.64,0.95,-0.33,0.62
257,경남,마산역버스터미널,마산역버스터미널,0.52,-0.07,0.45,0.67,-0.19,0.48,0.65,-0.29,0.36
258,경남,밀양원도심/삼문동,밀양원도심/삼문동,0.62,-0.31,0.30,0.77,-0.33,0.44,0.77,-0.35,0.42
259,경남,양산구도심,양산구도심,0.36,-0.09,0.27,0.56,-0.53,0.02,0.55,-0.20,0.35
260,경남,용원동,용원동,0.31,0.10,0.41,0.48,-0.04,0.44,0.46,-0.23,0.23
261,경남,진주중앙시장,진주중앙시장,0.70,-0.14,0.56,0.85,-0.18,0.67,0.83,-0.08,0.75
262,경남,진주하대동,진주하대동,0.74,-0.08,0.66,0.88,-0.19,0.69,0.87,0.01,0.88
263,경남,진해석동,진해석동,0.63,-0.66,-0.02,0.81,-0.86,-0.05,0.81,-0.70,0.11
264,경남,창원시청,창원시청,0.53,-0.03,0.50,0.69,-0.48,0.21,0.68,-0.64,0.05
265,경남,창원역,창원역,0.54,-0.07,0.47,0.76,-0.29,0.47,0.72,-0.53,0.19
266,경남,창원월영동,창원월영동,0.72,-0.27,0.45,0.89,-0.32,0.57,0.88,-0.35,0.53
267,경남,창원의창구청,창원의창구청,0.61,-0.34,0.27,0.75,-0.29,0.46,0.74,-0.64,0.10
268,경남,통영 강구안,통영 강구안,0.84,-0.56,0.29,1.00,-0.66,0.34,1.00,-0.70,0.30
269,경남,통영시청,통영시청,0.84,-0.50,0.34,1.00,-0.81,0.20,0.99,-1.05,-0.06
270,경남,평거동,평거동,0.68,-0.24,0.44,0.81,-0.26,0.56,0.79,-0.20,0.59
271,경남,활천동,활천동,0.48,-0.20,0.28,0.62,-0.24,0.38,0.55,-0.32,0.24
272,제주,제주,제주,0.62,-0.30,0.32,0.76,-0.46,0.29,0.74,-0.42,0.32
273,제주,광양사거리,광양사거리,0.64,-0.40,0.25,0.81,-0.47,0.34,0.78,-0.51,0.26
274,제주,노형오거리,노형오거리,0.54,-0.30,0.24,0.70,-0.35,0.35,0.67,-0.37,0.29
275,제주,서귀포도심,서귀포도심,0.49,-0.22,0.26,0.64,-0.46,0.18,0.62,-0.39,0.24
276,제주,중앙사거리,중앙사거리,0.75,-0.32,0.43,0.88,-0.47,0.41,0.84,-0.40,0.44
