행정동,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214,20221,20222,20223,20224,20231,20232,20233,20234,20241,20242,20243,20244,시설수,면적
고덕1동,1832.4,4867.5,4385.2,4187.9,2277.7,3363.8,4965.5,5299.0,4660.6,7473.2,5864.0,6294.8,5791.0,7398.9,6967.0,6242.8,5445.4,8268.9,6753.1,6049.8,2723.1,10943.8,3043.3,7102.3,100.0,1.51
고덕2동,1540.8,2393.2,1949.0,2488.4,4006.0,9107.9,7827.2,7091.2,10227.7,16203.4,12089.2,14144.8,11499.4,13942.4,13017.7,11389.1,12055.9,12500.4,10975.9,11186.1,4723.0,12749.9,5273.8,12107.5,,2.5
고척1동,43596.5,47710.2,51582.1,48830.4,41607.8,44287.5,41145.5,33368.1,38076.3,45202.0,84438.3,85141.8,80412.5,96194.4,96642.9,79797.2,92985.1,94012.0,90232.0,96560.1,35760.0,93944.8,31087.4,65918.9,400.0,1.16
고척2동,4831.2,4764.0,5906.6,6956.3,7222.7,8390.6,5874.4,5500.7,7457.3,8102.3,12800.9,9807.6,12279.7,12900.0,14246.6,12823.1,15045.2,12261.4,10734.6,9699.6,4822.3,11183.7,3803.2,9675.2,,1.02
공덕동,365417.4,321908.4,352156.2,376940.1,287352.2,269597.4,100448.3,36418.5,40115.6,38361.3,35545.4,40151.9,38235.2,41178.5,38851.1,57730.2,93328.1,73078.9,80292.6,78694.1,29076.4,77394.2,32522.2,92472.4,225.0,1.01
공릉1동,41921.8,46128.4,48065.0,54713.0,53227.3,58144.7,53099.2,47448.0,47408.9,54195.4,57025.5,68336.0,62659.5,71772.4,70008.9,69237.4,74072.4,80224.3,69573.2,71778.2,23347.2,77591.0,24187.3,67380.4,1089.0,1.41
공릉2동,72869.9,104533.2,106911.9,103918.1,75567.0,96527.9,83411.4,78182.9,74628.1,107811.3,89637.7,79898.1,85889.3,121208.9,92099.6,91492.4,96902.0,120086.8,108645.4,103360.2,42844.5,138984.4,43461.0,99416.1,,6.82
공항동,809234.1,489966.4,495592.4,521435.1,132559.2,200387.5,267225.5,266037.9,285570.4,463923.7,250132.1,353574.1,337953.6,459494.9,451139.1,564775.9,804317.8,140812.8,117245.8,106202.1,31737.5,129768.6,35121.0,92685.5,441.0,10.87
광장동,27464.5,25425.4,28636.8,24690.9,26285.0,26170.3,24112.6,23534.6,22167.3,24378.2,20208.4,24421.6,24968.4,27221.3,28948.1,28324.1,32457.9,34657.9,31172.7,32085.7,12719.6,32487.3,13181.9,30133.6,36.0,2.39
광희동,293286.8,347762.5,315653.4,377000.7,179830.0,169001.7,155258.8,157340.6,121765.3,156708.4,125245.5,174603.0,151731.0,216767.8,210085.7,230330.4,226147.7,229717.1,211110.7,218918.2,55716.7,180301.0,72773.9,217251.3,4.0,0.74
교남동,4953.5,3728.1,4482.1,3750.5,3104.9,3343.1,3882.2,2380.2,3722.6,5445.5,4895.3,6072.3,4575.4,5739.4,5775.9,4724.7,4847.7,6159.7,6030.0,4273.4,1509.3,5841.6,1956.5,4232.8,16.0,0.35
구로1동,7513.7,8334.1,8368.0,6742.0,8478.5,8406.8,7463.4,6719.0,6358.3,7901.2,8948.6,8824.2,7893.7,8619.4,9734.0,9250.8,11002.4,11559.0,11977.5,10353.5,3151.7,8784.0,2388.0,6994.2,1225.0,1.02
구로2동,23931.6,26148.1,25133.9,26333.4,19487.8,22122.4,19157.5,23796.0,22006.4,28076.0,26440.3,35067.4,30888.0,38134.8,37531.9,33954.4,35447.2,33797.2,33001.0,39569.3,12077.3,34623.4,10270.0,31235.1,,1.76
구로3동,45535950.9,55962784.2,63121328.8,70131819.0,79027414.7,82192781.5,90568665.4,100343510.7,78736302.7,81704841.0,103131723.7,114352031.2,116072270.3,117511204.0,120491754.9,128107709.2,125070264.2,127179707.4,129587085.8,139274566.5,47668026.1,151137772.6,58043321.9,174587346.4,,1.02
구로4동,26658.8,26408.1,27948.8,24364.6,19372.0,13338.0,13221.1,16294.8,17475.8,22014.3,20321.4,23971.9,27673.2,36545.2,41734.8,38894.5,45103.6,44270.5,43035.9,44962.5,10818.7,28720.2,9635.8,28054.4,,0.46
구로5동,462391.2,439534.6,393031.2,84957.1,73525.5,75806.3,67181.6,67538.1,68148.0,70536.9,65350.5,80031.6,77224.1,95526.4,109259.6,106919.2,115592.0,122989.9,125545.6,133366.6,131966.8,440843.3,171255.8,489216.3,,1.03
구산동,7447.3,7786.5,7875.4,7721.5,7608.2,5171.8,4938.8,5110.8,5084.0,7223.6,5762.3,5982.6,5404.9,6880.3,7360.7,6238.6,7054.3,6342.6,6310.7,9214.5,3195.3,8333.2,2802.0,7658.6,25.0,1.38
구의1동,15387.7,16936.9,17953.9,16676.2,16704.5,19037.4,14340.7,15421.3,17412.9,18108.3,17356.2,18008.7,17511.7,19756.1,21272.2,19454.5,20641.5,20961.3,19271.1,19432.9,6128.1,20992.3,7691.4,19914.9,961.0,0.56
구의2동,121503.8,35708.2,74166.8,31826.2,39823.0,29492.6,31281.8,18276.4,46793.4,23752.9,28862.4,21650.3,56876.7,29070.3,49556.8,23498.2,61843.0,28472.1,41422.8,24637.1,41622.4,26005.7,7534.2,25067.2,,1.39
